max_depth,criterian,splitter,max_features,class_weight_o,class_weight_1,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
3,gini,best,0.7,4,8,0.01,0.829,0.776,0.869,0.82,0.865
3,gini,best,0.7,5,10,0.0,0.829,0.776,0.869,0.82,0.907
3,gini,best,0.7,5,10,0.001,0.831,0.8,0.831,0.815,0.906
3,gini,best,0.7,5,10,0.01,0.829,0.776,0.869,0.82,0.865
3,gini,best,0.6,1,2,0.0,0.826,0.8,0.814,0.807,0.898
3,gini,best,0.6,1,2,0.001,0.831,0.8,0.831,0.815,0.906
3,gini,best,0.6,1,2,0.01,0.831,0.8,0.831,0.815,0.892
3,gini,best,0.6,2,4,0.0,0.831,0.815,0.806,0.811,0.889
3,gini,best,0.6,2,4,0.001,0.831,0.791,0.846,0.817,0.905
3,gini,best,0.6,2,4,0.01,0.831,0.8,0.831,0.815,0.858
3,gini,best,0.6,3,6,0.0,0.829,0.776,0.869,0.82,0.906
3,gini,best,0.6,3,6,0.001,0.831,0.8,0.831,0.815,0.898
3,gini,best,0.6,3,6,0.01,0.829,0.776,0.869,0.82,0.9
3,gini,best,0.6,4,8,0.0,0.844,0.84,0.804,0.822,0.905
3,gini,best,0.6,4,8,0.001,0.829,0.776,0.869,0.82,0.907
3,gini,best,0.6,4,8,0.01,0.796,0.717,0.9,0.798,0.861
3,gini,best,0.6,5,10,0.0,0.829,0.776,0.869,0.82,0.906
3,gini,best,0.6,5,10,0.001,0.829,0.776,0.869,0.82,0.9
3,gini,best,0.6,5,10,0.01,0.817,0.782,0.821,0.801,0.869
3,gini,best,0.5,1,2,0.0,0.763,0.67,0.928,0.778,0.885
3,gini,best,0.5,1,2,0.001,0.841,0.811,0.843,0.826,0.905
3,gini,best,0.5,1,2,0.01,0.829,0.776,0.869,0.82,0.865
3,gini,best,0.5,2,4,0.0,0.809,0.748,0.863,0.801,0.891
3,gini,best,0.5,2,4,0.001,0.824,0.789,0.829,0.809,0.885
3,gini,best,0.5,2,4,0.01,0.809,0.754,0.85,0.799,0.892
3,gini,best,0.5,3,6,0.0,0.831,0.8,0.831,0.815,0.893
3,gini,best,0.5,3,6,0.001,0.828,0.79,0.838,0.813,0.893
3,gini,best,0.5,3,6,0.01,0.831,0.8,0.831,0.815,0.892
3,gini,best,0.5,4,8,0.0,0.831,0.8,0.831,0.815,0.906
3,gini,best,0.5,4,8,0.001,0.838,0.848,0.777,0.811,0.887
3,gini,best,0.5,4,8,0.01,0.809,0.754,0.85,0.799,0.864
3,gini,best,0.5,5,10,0.0,0.831,0.8,0.831,0.815,0.904
3,gini,best,0.5,5,10,0.001,0.829,0.776,0.869,0.82,0.894
3,gini,best,0.5,5,10,0.01,0.82,0.805,0.789,0.797,0.879
3,gini,random,sqrt,1,2,0.0,0.811,0.766,0.833,0.798,0.858
3,gini,random,sqrt,1,2,0.001,0.798,0.737,0.856,0.792,0.874
3,gini,random,sqrt,1,2,0.01,0.784,0.731,0.817,0.772,0.817
3,gini,random,sqrt,2,4,0.0,0.744,0.659,0.886,0.756,0.839
3,gini,random,sqrt,2,4,0.001,0.798,0.793,0.744,0.768,0.831
3,gini,random,sqrt,2,4,0.01,0.758,0.674,0.888,0.767,0.816
3,gini,random,sqrt,3,6,0.0,0.813,0.759,0.854,0.803,0.853
3,gini,random,sqrt,3,6,0.001,0.612,0.538,0.958,0.689,0.734
3,gini,random,sqrt,3,6,0.01,0.769,0.685,0.899,0.777,0.824
3,gini,random,sqrt,4,8,0.0,0.807,0.748,0.858,0.799,0.875
3,gini,random,sqrt,4,8,0.001,0.722,0.629,0.926,0.749,0.848
3,gini,random,sqrt,4,8,0.01,0.635,0.555,0.935,0.697,0.8
3,gini,random,sqrt,5,10,0.0,0.695,0.607,0.903,0.726,0.773
3,gini,random,sqrt,5,10,0.001,0.759,0.672,0.904,0.771,0.838
3,gini,random,sqrt,5,10,0.01,0.813,0.833,0.727,0.776,0.819
3,gini,random,log2,1,2,0.0,0.816,0.791,0.801,0.796,0.842
3,gini,random,log2,1,2,0.001,0.747,0.758,0.64,0.694,0.795
3,gini,random,log2,1,2,0.01,0.759,0.698,0.813,0.751,0.769
3,gini,random,log2,2,4,0.0,0.751,0.651,0.957,0.775,0.856
3,gini,random,log2,2,4,0.001,0.828,0.833,0.771,0.801,0.876
3,gini,random,log2,2,4,0.01,0.713,0.658,0.747,0.7,0.773
3,gini,random,log2,3,6,0.0,0.727,0.672,0.762,0.714,0.814
3,gini,random,log2,3,6,0.001,0.72,0.625,0.934,0.749,0.835
