max_depth,criterian,splitter,max_features,class_weight_o,class_weight_1,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
5,log_loss,random,0.8,3,6,0.01,0.796,0.716,0.902,0.798,0.884
5,log_loss,random,0.8,4,8,0.0,0.846,0.796,0.882,0.837,0.926
5,log_loss,random,0.8,4,8,0.001,0.842,0.785,0.89,0.834,0.926
5,log_loss,random,0.8,4,8,0.01,0.809,0.761,0.837,0.797,0.892
5,log_loss,random,0.8,5,10,0.0,0.839,0.783,0.886,0.831,0.919
5,log_loss,random,0.8,5,10,0.001,0.829,0.759,0.906,0.826,0.925
5,log_loss,random,0.8,5,10,0.01,0.845,0.819,0.839,0.829,0.898
5,log_loss,random,0.7,1,2,0.0,0.856,0.811,0.884,0.846,0.928
5,log_loss,random,0.7,1,2,0.001,0.799,0.71,0.932,0.806,0.914
5,log_loss,random,0.7,1,2,0.01,0.835,0.79,0.861,0.824,0.905
5,log_loss,random,0.7,2,4,0.0,0.84,0.779,0.896,0.833,0.928
5,log_loss,random,0.7,2,4,0.001,0.838,0.781,0.887,0.831,0.924
5,log_loss,random,0.7,2,4,0.01,0.824,0.753,0.903,0.821,0.893
5,log_loss,random,0.7,3,6,0.0,0.847,0.806,0.867,0.835,0.924
5,log_loss,random,0.7,3,6,0.001,0.844,0.794,0.881,0.835,0.922
5,log_loss,random,0.7,3,6,0.01,0.812,0.736,0.904,0.812,0.894
5,log_loss,random,0.7,4,8,0.0,0.841,0.79,0.877,0.832,0.925
5,log_loss,random,0.7,4,8,0.001,0.838,0.785,0.878,0.829,0.923
5,log_loss,random,0.7,4,8,0.01,0.826,0.775,0.864,0.817,0.899
5,log_loss,random,0.7,5,10,0.0,0.842,0.782,0.898,0.836,0.927
5,log_loss,random,0.7,5,10,0.001,0.826,0.761,0.892,0.821,0.913
5,log_loss,random,0.7,5,10,0.01,0.812,0.734,0.911,0.813,0.893
5,log_loss,random,0.6,1,2,0.0,0.836,0.795,0.855,0.824,0.918
5,log_loss,random,0.6,1,2,0.001,0.841,0.789,0.88,0.832,0.911
5,log_loss,random,0.6,1,2,0.01,0.818,0.756,0.878,0.812,0.887
5,log_loss,random,0.6,2,4,0.0,0.839,0.793,0.868,0.829,0.909
5,log_loss,random,0.6,2,4,0.001,0.814,0.749,0.878,0.809,0.911
5,log_loss,random,0.6,2,4,0.01,0.817,0.782,0.819,0.8,0.872
5,log_loss,random,0.6,3,6,0.0,0.832,0.759,0.916,0.83,0.925
5,log_loss,random,0.6,3,6,0.001,0.822,0.755,0.891,0.817,0.917
5,log_loss,random,0.6,3,6,0.01,0.8,0.71,0.935,0.807,0.914
5,log_loss,random,0.6,4,8,0.0,0.846,0.799,0.876,0.836,0.913
5,log_loss,random,0.6,4,8,0.001,0.849,0.814,0.86,0.836,0.92
5,log_loss,random,0.6,4,8,0.01,0.823,0.76,0.885,0.818,0.893
5,log_loss,random,0.6,5,10,0.0,0.86,0.852,0.834,0.843,0.921
5,log_loss,random,0.6,5,10,0.001,0.845,0.792,0.885,0.836,0.917
5,log_loss,random,0.6,5,10,0.01,0.831,0.767,0.895,0.826,0.906
5,log_loss,random,0.5,1,2,0.0,0.835,0.795,0.85,0.822,0.917
5,log_loss,random,0.5,1,2,0.001,0.832,0.766,0.9,0.827,0.915
5,log_loss,random,0.5,1,2,0.01,0.813,0.738,0.904,0.813,0.894
5,log_loss,random,0.5,2,4,0.0,0.818,0.752,0.887,0.814,0.912
5,log_loss,random,0.5,2,4,0.001,0.811,0.773,0.819,0.795,0.888
5,log_loss,random,0.5,2,4,0.01,0.807,0.726,0.915,0.81,0.902
5,log_loss,random,0.5,3,6,0.0,0.826,0.756,0.901,0.822,0.915
5,log_loss,random,0.5,3,6,0.001,0.818,0.752,0.888,0.814,0.908
5,log_loss,random,0.5,3,6,0.01,0.82,0.762,0.87,0.812,0.89
5,log_loss,random,0.5,4,8,0.0,0.835,0.787,0.867,0.825,0.912
5,log_loss,random,0.5,4,8,0.001,0.819,0.739,0.921,0.82,0.92
5,log_loss,random,0.5,4,8,0.01,0.84,0.831,0.805,0.818,0.887
5,log_loss,random,0.5,5,10,0.0,0.825,0.772,0.865,0.816,0.907
5,log_loss,random,0.5,5,10,0.001,0.807,0.738,0.883,0.804,0.897
5,log_loss,random,0.5,5,10,0.01,0.815,0.746,0.89,0.812,0.903
7,gini,best,sqrt,1,2,0.0,0.842,0.776,0.91,0.838,0.931
7,gini,best,sqrt,1,2,0.001,0.833,0.765,0.906,0.829,0.923
7,gini,best,sqrt,1,2,0.01,0.769,0.672,0.945,0.785,0.856
7,gini,best,sqrt,2,4,0.0,0.842,0.786,0.889,0.834,0.927
7,gini,best,sqrt,2,4,0.001,0.844,0.811,0.852,0.831,0.912
7,gini,best,sqrt,2,4,0.01,0.752,0.69,0.814,0.746,0.815
7,gini,best,sqrt,3,6,0.0,0.838,0.764,0.923,0.836,0.935
7,gini,best,sqrt,3,6,0.001,0.831,0.758,0.915,0.829,0.915
7,gini,best,sqrt,3,6,0.01,0.706,0.61,0.953,0.744,0.829
7,gini,best,sqrt,4,8,0.0,0.84,0.79,0.876,0.831,0.923
7,gini,best,sqrt,4,8,0.001,0.832,0.789,0.853,0.819,0.901
7,gini,best,sqrt,4,8,0.01,0.792,0.759,0.787,0.772,0.847
7,gini,best,sqrt,5,10,0.0,0.858,0.803,0.905,0.851,0.935
7,gini,best,sqrt,5,10,0.001,0.834,0.767,0.902,0.829,0.91
7,gini,best,sqrt,5,10,0.01,0.829,0.776,0.869,0.82,0.85
7,gini,best,log2,1,2,0.0,0.841,0.772,0.915,0.838,0.929
7,gini,best,log2,1,2,0.001,0.846,0.788,0.898,0.839,0.907
7,gini,best,log2,1,2,0.01,0.778,0.714,0.84,0.772,0.856
7,gini,best,log2,2,4,0.0,0.848,0.791,0.898,0.842,0.932
7,gini,best,log2,2,4,0.001,0.832,0.779,0.873,0.823,0.901
7,gini,best,log2,2,4,0.01,0.75,0.65,0.954,0.773,0.875
7,gini,best,log2,3,6,0.0,0.86,0.812,0.896,0.852,0.936
7,gini,best,log2,3,6,0.001,0.822,0.745,0.916,0.821,0.903
7,gini,best,log2,3,6,0.01,0.739,0.649,0.908,0.757,0.869
7,gini,best,log2,4,8,0.0,0.846,0.789,0.897,0.839,0.927
7,gini,best,log2,4,8,0.001,0.84,0.774,0.91,0.836,0.909
7,gini,best,log2,4,8,0.01,0.757,0.672,0.896,0.768,0.833
7,gini,best,log2,5,10,0.0,0.855,0.798,0.907,0.849,0.936
7,gini,best,log2,5,10,0.001,0.852,0.812,0.872,0.841,0.908
7,gini,best,log2,5,10,0.01,0.801,0.757,0.819,0.786,0.842
7,gini,best,,1,2,0.0,0.866,0.813,0.91,0.859,0.944
7,gini,best,,1,2,0.001,0.841,0.773,0.915,0.838,0.927
7,gini,best,,1,2,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,best,,2,4,0.0,0.866,0.813,0.91,0.859,0.944
7,gini,best,,2,4,0.001,0.841,0.773,0.915,0.838,0.927
7,gini,best,,2,4,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,best,,3,6,0.0,0.866,0.813,0.91,0.859,0.944
7,gini,best,,3,6,0.001,0.841,0.773,0.915,0.838,0.927
7,gini,best,,3,6,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,best,,4,8,0.0,0.866,0.813,0.91,0.859,0.944
7,gini,best,,4,8,0.001,0.841,0.773,0.915,0.838,0.927
7,gini,best,,4,8,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,best,,5,10,0.0,0.866,0.813,0.91,0.859,0.944
7,gini,best,,5,10,0.001,0.841,0.773,0.915,0.838,0.927
7,gini,best,,5,10,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,best,0.8,1,2,0.0,0.863,0.806,0.914,0.857,0.944
7,gini,best,0.8,1,2,0.001,0.849,0.789,0.904,0.843,0.928
7,gini,best,0.8,1,2,0.01,0.809,0.754,0.85,0.799,0.864
7,gini,best,0.8,2,4,0.0,0.865,0.812,0.91,0.858,0.944
7,gini,best,0.8,2,4,0.001,0.841,0.773,0.915,0.838,0.927
7,gini,best,0.8,2,4,0.01,0.831,0.8,0.831,0.815,0.864
7,gini,best,0.8,3,6,0.0,0.866,0.814,0.909,0.859,0.943
7,gini,best,0.8,3,6,0.001,0.841,0.773,0.915,0.838,0.927
7,gini,best,0.8,3,6,0.01,0.809,0.754,0.85,0.799,0.864
7,gini,best,0.8,4,8,0.0,0.863,0.806,0.914,0.856,0.944
7,gini,best,0.8,4,8,0.001,0.843,0.774,0.916,0.839,0.926
7,gini,best,0.8,4,8,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,best,0.8,5,10,0.0,0.864,0.809,0.911,0.857,0.944
7,gini,best,0.8,5,10,0.001,0.845,0.782,0.908,0.84,0.927
7,gini,best,0.8,5,10,0.01,0.831,0.8,0.831,0.815,0.891
7,gini,best,0.7,1,2,0.0,0.861,0.8,0.919,0.855,0.944
7,gini,best,0.7,1,2,0.001,0.851,0.793,0.903,0.844,0.926
7,gini,best,0.7,1,2,0.01,0.815,0.757,0.865,0.807,0.86
7,gini,best,0.7,2,4,0.0,0.861,0.804,0.912,0.855,0.943
7,gini,best,0.7,2,4,0.001,0.854,0.799,0.901,0.847,0.922
7,gini,best,0.7,2,4,0.01,0.831,0.8,0.831,0.815,0.889
7,gini,best,0.7,3,6,0.0,0.863,0.807,0.913,0.857,0.944
7,gini,best,0.7,3,6,0.001,0.849,0.786,0.91,0.843,0.928
7,gini,best,0.7,3,6,0.01,0.831,0.8,0.831,0.815,0.864
7,gini,best,0.7,4,8,0.0,0.862,0.805,0.914,0.856,0.944
7,gini,best,0.7,4,8,0.001,0.851,0.789,0.913,0.846,0.928
7,gini,best,0.7,4,8,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,best,0.7,5,10,0.0,0.859,0.798,0.918,0.854,0.943
7,gini,best,0.7,5,10,0.001,0.85,0.79,0.906,0.844,0.928
7,gini,best,0.7,5,10,0.01,0.831,0.8,0.831,0.815,0.864
7,gini,best,0.6,1,2,0.0,0.859,0.799,0.915,0.853,0.943
7,gini,best,0.6,1,2,0.001,0.853,0.794,0.905,0.846,0.924
7,gini,best,0.6,1,2,0.01,0.81,0.75,0.865,0.804,0.892
7,gini,best,0.6,2,4,0.0,0.865,0.813,0.906,0.857,0.943
7,gini,best,0.6,2,4,0.001,0.85,0.789,0.907,0.844,0.929
7,gini,best,0.6,2,4,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,best,0.6,3,6,0.0,0.865,0.813,0.907,0.858,0.943
7,gini,best,0.6,3,6,0.001,0.846,0.777,0.922,0.843,0.924
7,gini,best,0.6,3,6,0.01,0.809,0.754,0.85,0.799,0.882
7,gini,best,0.6,4,8,0.0,0.853,0.793,0.911,0.848,0.942
7,gini,best,0.6,4,8,0.001,0.854,0.799,0.9,0.846,0.926
7,gini,best,0.6,4,8,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,best,0.6,5,10,0.0,0.865,0.818,0.899,0.857,0.942
7,gini,best,0.6,5,10,0.001,0.844,0.775,0.917,0.84,0.927
7,gini,best,0.6,5,10,0.01,0.826,0.766,0.881,0.82,0.873
7,gini,best,0.5,1,2,0.0,0.863,0.809,0.909,0.856,0.941
7,gini,best,0.5,1,2,0.001,0.849,0.787,0.908,0.843,0.919
7,gini,best,0.5,1,2,0.01,0.809,0.754,0.85,0.799,0.873
7,gini,best,0.5,2,4,0.0,0.851,0.784,0.922,0.847,0.941
7,gini,best,0.5,2,4,0.001,0.85,0.791,0.903,0.843,0.924
7,gini,best,0.5,2,4,0.01,0.809,0.761,0.837,0.797,0.869
7,gini,best,0.5,3,6,0.0,0.866,0.819,0.901,0.858,0.942
7,gini,best,0.5,3,6,0.001,0.851,0.793,0.904,0.845,0.925
7,gini,best,0.5,3,6,0.01,0.809,0.754,0.85,0.799,0.856
7,gini,best,0.5,4,8,0.0,0.86,0.804,0.909,0.853,0.942
7,gini,best,0.5,4,8,0.001,0.849,0.789,0.905,0.843,0.921
7,gini,best,0.5,4,8,0.01,0.829,0.776,0.869,0.82,0.892
7,gini,best,0.5,5,10,0.0,0.862,0.807,0.91,0.855,0.942
7,gini,best,0.5,5,10,0.001,0.852,0.793,0.907,0.846,0.914
7,gini,best,0.5,5,10,0.01,0.829,0.776,0.869,0.82,0.864
7,gini,random,sqrt,1,2,0.0,0.75,0.661,0.904,0.764,0.888
7,gini,random,sqrt,1,2,0.001,0.807,0.733,0.895,0.806,0.904
7,gini,random,sqrt,1,2,0.01,0.794,0.726,0.869,0.791,0.835
7,gini,random,sqrt,2,4,0.0,0.817,0.744,0.902,0.815,0.908
7,gini,random,sqrt,2,4,0.001,0.807,0.728,0.91,0.809,0.905
7,gini,random,sqrt,2,4,0.01,0.788,0.695,0.942,0.8,0.857
7,gini,random,sqrt,3,6,0.0,0.821,0.755,0.888,0.816,0.922
7,gini,random,sqrt,3,6,0.001,0.808,0.73,0.907,0.809,0.902
7,gini,random,sqrt,3,6,0.01,0.81,0.798,0.77,0.784,0.832
7,gini,random,sqrt,4,8,0.0,0.835,0.775,0.889,0.828,0.922
7,gini,random,sqrt,4,8,0.001,0.826,0.777,0.858,0.816,0.893
7,gini,random,sqrt,4,8,0.01,0.769,0.672,0.945,0.785,0.856
7,gini,random,sqrt,5,10,0.0,0.832,0.796,0.839,0.817,0.91
7,gini,random,sqrt,5,10,0.001,0.826,0.757,0.901,0.823,0.906
7,gini,random,sqrt,5,10,0.01,0.809,0.761,0.837,0.797,0.824
7,gini,random,log2,1,2,0.0,0.832,0.779,0.874,0.823,0.916
7,gini,random,log2,1,2,0.001,0.741,0.655,0.892,0.755,0.861
7,gini,random,log2,1,2,0.01,0.817,0.816,0.765,0.79,0.843
7,gini,random,log2,2,4,0.0,0.815,0.736,0.915,0.816,0.91
7,gini,random,log2,2,4,0.001,0.809,0.734,0.897,0.808,0.903
7,gini,random,log2,2,4,0.01,0.808,0.783,0.791,0.787,0.864
7,gini,random,log2,3,6,0.0,0.839,0.785,0.882,0.831,0.921
7,gini,random,log2,3,6,0.001,0.824,0.759,0.891,0.82,0.904
7,gini,random,log2,3,6,0.01,0.791,0.71,0.901,0.794,0.835
7,gini,random,log2,4,8,0.0,0.815,0.782,0.813,0.797,0.893
7,gini,random,log2,4,8,0.001,0.816,0.755,0.872,0.81,0.908
7,gini,random,log2,4,8,0.01,0.817,0.816,0.765,0.79,0.864
7,gini,random,log2,5,10,0.0,0.836,0.799,0.845,0.822,0.907
7,gini,random,log2,5,10,0.001,0.809,0.735,0.897,0.808,0.889
7,gini,random,log2,5,10,0.01,0.769,0.688,0.887,0.775,0.851
7,gini,random,,1,2,0.0,0.863,0.819,0.891,0.853,0.94
7,gini,random,,1,2,0.001,0.852,0.809,0.876,0.841,0.919
7,gini,random,,1,2,0.01,0.827,0.768,0.88,0.82,0.873
7,gini,random,,2,4,0.0,0.863,0.808,0.909,0.856,0.94
7,gini,random,,2,4,0.001,0.843,0.773,0.919,0.84,0.919
7,gini,random,,2,4,0.01,0.829,0.776,0.869,0.82,0.85
7,gini,random,,3,6,0.0,0.862,0.814,0.896,0.853,0.94
7,gini,random,,3,6,0.001,0.852,0.802,0.887,0.843,0.922
7,gini,random,,3,6,0.01,0.809,0.761,0.837,0.797,0.854
7,gini,random,,4,8,0.0,0.861,0.817,0.888,0.851,0.94
7,gini,random,,4,8,0.001,0.849,0.79,0.904,0.843,0.916
7,gini,random,,4,8,0.01,0.828,0.801,0.821,0.811,0.864
7,gini,random,,5,10,0.0,0.863,0.816,0.896,0.854,0.94
7,gini,random,,5,10,0.001,0.853,0.802,0.894,0.845,0.924
7,gini,random,,5,10,0.01,0.769,0.685,0.899,0.777,0.842
7,gini,random,0.8,1,2,0.0,0.846,0.776,0.921,0.842,0.938
7,gini,random,0.8,1,2,0.001,0.846,0.793,0.889,0.838,0.914
7,gini,random,0.8,1,2,0.01,0.829,0.776,0.869,0.82,0.865
7,gini,random,0.8,2,4,0.0,0.864,0.822,0.889,0.854,0.938
7,gini,random,0.8,2,4,0.001,0.838,0.775,0.901,0.833,0.916
7,gini,random,0.8,2,4,0.01,0.799,0.712,0.923,0.804,0.861
7,gini,random,0.8,3,6,0.0,0.857,0.802,0.905,0.851,0.94
7,gini,random,0.8,3,6,0.001,0.852,0.793,0.905,0.845,0.916
7,gini,random,0.8,3,6,0.01,0.809,0.761,0.837,0.797,0.863
7,gini,random,0.8,4,8,0.0,0.859,0.81,0.896,0.851,0.938
7,gini,random,0.8,4,8,0.001,0.835,0.764,0.915,0.833,0.915
7,gini,random,0.8,4,8,0.01,0.837,0.79,0.866,0.826,0.894
7,gini,random,0.8,5,10,0.0,0.859,0.797,0.918,0.853,0.941
7,gini,random,0.8,5,10,0.001,0.846,0.783,0.907,0.84,0.915
7,gini,random,0.8,5,10,0.01,0.796,0.717,0.9,0.798,0.843
7,gini,random,0.7,1,2,0.0,0.854,0.799,0.902,0.847,0.934
7,gini,random,0.7,1,2,0.001,0.837,0.771,0.906,0.833,0.919
7,gini,random,0.7,1,2,0.01,0.829,0.793,0.838,0.815,0.864
7,gini,random,0.7,2,4,0.0,0.852,0.796,0.9,0.845,0.934
7,gini,random,0.7,2,4,0.001,0.849,0.794,0.896,0.842,0.924
7,gini,random,0.7,2,4,0.01,0.796,0.717,0.9,0.798,0.867
7,gini,random,0.7,3,6,0.0,0.848,0.785,0.911,0.843,0.932
7,gini,random,0.7,3,6,0.001,0.846,0.8,0.874,0.836,0.914
7,gini,random,0.7,3,6,0.01,0.81,0.731,0.91,0.811,0.85
7,gini,random,0.7,4,8,0.0,0.847,0.793,0.891,0.839,0.932
7,gini,random,0.7,4,8,0.001,0.856,0.809,0.89,0.847,0.923
7,gini,random,0.7,4,8,0.01,0.769,0.685,0.899,0.777,0.858
7,gini,random,0.7,5,10,0.0,0.856,0.802,0.901,0.849,0.937
7,gini,random,0.7,5,10,0.001,0.847,0.78,0.916,0.843,0.917
7,gini,random,0.7,5,10,0.01,0.769,0.685,0.899,0.777,0.858
7,gini,random,0.6,1,2,0.0,0.845,0.785,0.902,0.839,0.934
7,gini,random,0.6,1,2,0.001,0.838,0.774,0.901,0.833,0.913
7,gini,random,0.6,1,2,0.01,0.829,0.776,0.869,0.82,0.871
7,gini,random,0.6,2,4,0.0,0.853,0.802,0.891,0.844,0.935
7,gini,random,0.6,2,4,0.001,0.808,0.725,0.922,0.811,0.913
7,gini,random,0.6,2,4,0.01,0.812,0.756,0.856,0.803,0.851
7,gini,random,0.6,3,6,0.0,0.85,0.787,0.912,0.845,0.933
7,gini,random,0.6,3,6,0.001,0.832,0.762,0.908,0.829,0.914
7,gini,random,0.6,3,6,0.01,0.818,0.782,0.824,0.803,0.847
7,gini,random,0.6,4,8,0.0,0.845,0.781,0.91,0.841,0.934
7,gini,random,0.6,4,8,0.001,0.842,0.789,0.883,0.833,0.904
7,gini,random,0.6,4,8,0.01,0.809,0.754,0.85,0.799,0.835
7,gini,random,0.6,5,10,0.0,0.863,0.832,0.87,0.851,0.931
7,gini,random,0.6,5,10,0.001,0.832,0.76,0.913,0.829,0.91
7,gini,random,0.6,5,10,0.01,0.811,0.782,0.803,0.792,0.847
7,gini,random,0.5,1,2,0.0,0.852,0.797,0.898,0.845,0.927
7,gini,random,0.5,1,2,0.001,0.849,0.805,0.875,0.838,0.904
7,gini,random,0.5,1,2,0.01,0.831,0.8,0.831,0.815,0.864
7,gini,random,0.5,2,4,0.0,0.842,0.781,0.899,0.836,0.93
7,gini,random,0.5,2,4,0.001,0.839,0.779,0.895,0.833,0.921
7,gini,random,0.5,2,4,0.01,0.75,0.649,0.961,0.775,0.888
7,gini,random,0.5,3,6,0.0,0.852,0.806,0.883,0.843,0.929
7,gini,random,0.5,3,6,0.001,0.823,0.742,0.93,0.825,0.913
7,gini,random,0.5,3,6,0.01,0.787,0.702,0.911,0.793,0.875
7,gini,random,0.5,4,8,0.0,0.858,0.807,0.898,0.85,0.934
7,gini,random,0.5,4,8,0.001,0.834,0.768,0.901,0.829,0.915
7,gini,random,0.5,4,8,0.01,0.77,0.675,0.939,0.785,0.863
7,gini,random,0.5,5,10,0.0,0.848,0.792,0.897,0.841,0.929
7,gini,random,0.5,5,10,0.001,0.834,0.777,0.884,0.827,0.911
7,gini,random,0.5,5,10,0.01,0.829,0.776,0.869,0.82,0.85
7,entropy,best,sqrt,1,2,0.0,0.857,0.807,0.897,0.849,0.935
7,entropy,best,sqrt,1,2,0.001,0.832,0.762,0.908,0.829,0.924
7,entropy,best,sqrt,1,2,0.01,0.811,0.733,0.91,0.812,0.893
7,entropy,best,sqrt,2,4,0.0,0.837,0.773,0.899,0.831,0.926
7,entropy,best,sqrt,2,4,0.001,0.851,0.801,0.888,0.842,0.922
7,entropy,best,sqrt,2,4,0.01,0.823,0.798,0.811,0.805,0.885
7,entropy,best,sqrt,3,6,0.0,0.834,0.772,0.894,0.829,0.926
7,entropy,best,sqrt,3,6,0.001,0.841,0.781,0.896,0.834,0.923
7,entropy,best,sqrt,3,6,0.01,0.835,0.776,0.887,0.828,0.897
7,entropy,best,sqrt,4,8,0.0,0.843,0.78,0.905,0.838,0.929
7,entropy,best,sqrt,4,8,0.001,0.84,0.79,0.877,0.831,0.921
7,entropy,best,sqrt,4,8,0.01,0.824,0.793,0.823,0.807,0.895
7,entropy,best,sqrt,5,10,0.0,0.848,0.789,0.903,0.842,0.933
7,entropy,best,sqrt,5,10,0.001,0.844,0.81,0.852,0.83,0.918
7,entropy,best,sqrt,5,10,0.01,0.778,0.714,0.84,0.772,0.878
7,entropy,best,log2,1,2,0.0,0.852,0.796,0.902,0.845,0.934
7,entropy,best,log2,1,2,0.001,0.852,0.811,0.873,0.841,0.924
7,entropy,best,log2,1,2,0.01,0.777,0.696,0.889,0.781,0.869
7,entropy,best,log2,2,4,0.0,0.851,0.792,0.906,0.845,0.935
7,entropy,best,log2,2,4,0.001,0.85,0.794,0.9,0.843,0.927
7,entropy,best,log2,2,4,0.01,0.831,0.8,0.831,0.815,0.898
7,entropy,best,log2,3,6,0.0,0.85,0.804,0.878,0.84,0.923
7,entropy,best,log2,3,6,0.001,0.844,0.794,0.881,0.835,0.919
7,entropy,best,log2,3,6,0.01,0.826,0.787,0.838,0.812,0.887
7,entropy,best,log2,4,8,0.0,0.84,0.785,0.887,0.833,0.92
7,entropy,best,log2,4,8,0.001,0.835,0.768,0.905,0.831,0.921
7,entropy,best,log2,4,8,0.01,0.813,0.748,0.881,0.809,0.895
7,entropy,best,log2,5,10,0.0,0.854,0.806,0.887,0.845,0.927
7,entropy,best,log2,5,10,0.001,0.834,0.766,0.906,0.83,0.924
7,entropy,best,log2,5,10,0.01,0.78,0.689,0.929,0.791,0.886
7,entropy,best,,1,2,0.0,0.862,0.804,0.915,0.856,0.945
7,entropy,best,,1,2,0.001,0.852,0.789,0.915,0.847,0.937
7,entropy,best,,1,2,0.01,0.837,0.78,0.886,0.83,0.902
7,entropy,best,,2,4,0.0,0.862,0.804,0.915,0.856,0.945
7,entropy,best,,2,4,0.001,0.852,0.789,0.915,0.847,0.937
7,entropy,best,,2,4,0.01,0.837,0.78,0.886,0.83,0.902
7,entropy,best,,3,6,0.0,0.862,0.804,0.915,0.856,0.945
7,entropy,best,,3,6,0.001,0.852,0.789,0.915,0.847,0.937
7,entropy,best,,3,6,0.01,0.837,0.78,0.886,0.83,0.902
7,entropy,best,,4,8,0.0,0.862,0.804,0.915,0.856,0.945
7,entropy,best,,4,8,0.001,0.852,0.789,0.915,0.847,0.937
7,entropy,best,,4,8,0.01,0.837,0.78,0.886,0.83,0.902
7,entropy,best,,5,10,0.0,0.862,0.804,0.915,0.856,0.945
7,entropy,best,,5,10,0.001,0.852,0.789,0.915,0.847,0.937
7,entropy,best,,5,10,0.01,0.837,0.78,0.886,0.83,0.902
7,entropy,best,0.8,1,2,0.0,0.862,0.804,0.915,0.856,0.944
7,entropy,best,0.8,1,2,0.001,0.85,0.785,0.916,0.845,0.936
7,entropy,best,0.8,1,2,0.01,0.832,0.767,0.898,0.827,0.902
7,entropy,best,0.8,2,4,0.0,0.862,0.806,0.913,0.856,0.945
7,entropy,best,0.8,2,4,0.001,0.85,0.784,0.919,0.846,0.937
7,entropy,best,0.8,2,4,0.01,0.837,0.78,0.886,0.83,0.902
7,entropy,best,0.8,3,6,0.0,0.863,0.81,0.906,0.855,0.944
7,entropy,best,0.8,3,6,0.001,0.851,0.788,0.914,0.846,0.937
7,entropy,best,0.8,3,6,0.01,0.837,0.78,0.886,0.83,0.902
7,entropy,best,0.8,4,8,0.0,0.862,0.805,0.913,0.856,0.944
7,entropy,best,0.8,4,8,0.001,0.854,0.792,0.914,0.848,0.936
7,entropy,best,0.8,4,8,0.01,0.809,0.728,0.917,0.812,0.898
7,entropy,best,0.8,5,10,0.0,0.863,0.81,0.907,0.856,0.944
7,entropy,best,0.8,5,10,0.001,0.856,0.797,0.91,0.85,0.937
7,entropy,best,0.8,5,10,0.01,0.837,0.78,0.886,0.83,0.908
7,entropy,best,0.7,1,2,0.0,0.861,0.8,0.919,0.855,0.944
7,entropy,best,0.7,1,2,0.001,0.854,0.794,0.911,0.848,0.936
7,entropy,best,0.7,1,2,0.01,0.837,0.78,0.886,0.83,0.902
7,entropy,best,0.7,2,4,0.0,0.862,0.804,0.914,0.856,0.944
7,entropy,best,0.7,2,4,0.001,0.847,0.775,0.928,0.844,0.937
7,entropy,best,0.7,2,4,0.01,0.819,0.752,0.89,0.815,0.9
7,entropy,best,0.7,3,6,0.0,0.863,0.81,0.908,0.856,0.943
7,entropy,best,0.7,3,6,0.001,0.853,0.793,0.911,0.848,0.936
7,entropy,best,0.7,3,6,0.01,0.829,0.776,0.869,0.82,0.897
7,entropy,best,0.7,4,8,0.0,0.863,0.81,0.909,0.856,0.944
7,entropy,best,0.7,4,8,0.001,0.853,0.788,0.918,0.848,0.936
7,entropy,best,0.7,4,8,0.01,0.837,0.78,0.886,0.83,0.909
7,entropy,best,0.7,5,10,0.0,0.864,0.809,0.911,0.857,0.943
7,entropy,best,0.7,5,10,0.001,0.853,0.794,0.909,0.848,0.937
7,entropy,best,0.7,5,10,0.01,0.832,0.767,0.898,0.827,0.902
7,entropy,best,0.6,1,2,0.0,0.864,0.814,0.902,0.856,0.943
7,entropy,best,0.6,1,2,0.001,0.852,0.791,0.911,0.847,0.936
7,entropy,best,0.6,1,2,0.01,0.796,0.717,0.9,0.798,0.898
7,entropy,best,0.6,2,4,0.0,0.857,0.802,0.904,0.85,0.942
7,entropy,best,0.6,2,4,0.001,0.855,0.799,0.904,0.848,0.935
7,entropy,best,0.6,2,4,0.01,0.832,0.767,0.898,0.827,0.901
7,entropy,best,0.6,3,6,0.0,0.86,0.802,0.913,0.854,0.942
7,entropy,best,0.6,3,6,0.001,0.86,0.81,0.899,0.852,0.935
7,entropy,best,0.6,3,6,0.01,0.837,0.78,0.886,0.83,0.904
7,entropy,best,0.6,4,8,0.0,0.867,0.82,0.901,0.858,0.943
7,entropy,best,0.6,4,8,0.001,0.851,0.787,0.915,0.846,0.935
7,entropy,best,0.6,4,8,0.01,0.832,0.767,0.898,0.827,0.909
7,entropy,best,0.6,5,10,0.0,0.863,0.811,0.905,0.856,0.943
7,entropy,best,0.6,5,10,0.001,0.851,0.789,0.911,0.846,0.935
7,entropy,best,0.6,5,10,0.01,0.832,0.767,0.898,0.827,0.902
7,entropy,best,0.5,1,2,0.0,0.859,0.799,0.914,0.853,0.942
7,entropy,best,0.5,1,2,0.001,0.852,0.796,0.901,0.845,0.933
7,entropy,best,0.5,1,2,0.01,0.83,0.76,0.907,0.827,0.909
